company_name,industry,contact_url
株式会社宣伝会議,コンサルティング/専門サービス系,https://www.sendenkaigi.com/inquiry/
エムスリーキャリア株式会社,マスコミ/広告/デザイン/ゲーム/エンターテイメント系,https://www.m3career.com/contact/
日本マイクロソフト株式会社,人,https://partner.microsoft.com/ja-jp/support/call-center
